company_ntn,company_name,incorporation_date,registered_address,principal_business,status,paid_up_capital
3160854-7,Star Traders,2016-03-03,"House 362, Street 38, Peoples Colony, Faisalabad",Logistics,Active,50000000
8810672-6,Crescent Builders,2015-09-20,"House 214, Street 57, PECHS, Karachi",Construction,Active,50000000
5511845-4,Royal Builders,2012-09-12,"House 56, Street 7, D Ground, Faisalabad",Real Estate,Active,50000000
4456580-9,Global Enterprises,2008-12-23,"House 706, Street 46, F-8, Islamabad",Textile,Active,50000000
2470628-9,United Traders,2017-11-28,"House 168, Street 12, DC Colony, Gujranwala",IT Services,Active,50000000
5582274-9,Pak Associates,2013-04-10,"House 386, Street 58, Gulbahar, Peshawar",Pharmaceuticals,Active,500000000
6928400-9,Premier Industries,2012-01-17,"House 589, Street 15, Kashmir Road, Sialkot",Real Estate,Active,50000000
2289177-9,Global Enterprises,2022-01-06,"House 401, Street 25, Chaklala Scheme 3, Rawalpindi",Textile,Active,500000000
4981550-0,Summit Holdings,2014-06-15,"House 833, Street 59, Model Town, Gujranwala",Construction,Active,50000000
2074212-4,Star (Pvt) Ltd,2017-07-05,"House 415, Street 2, Satellite Town, Rawalpindi",Real Estate,Active,500000000
2548867-1,Global Builders,2011-06-24,"House 249, Street 5, Paris Road, Sialkot",Pharmaceuticals,Active,50000000
2766591-7,Summit Enterprises,2020-05-14,"House 582, Street 17, Madina Town, Faisalabad",Construction,Active,50000000
3375079-3,Premier Associates,2011-02-15,"House 55, Street 55, Cantt, Peshawar",Import/Export,Active,50000000
1828340-8,Pak Associates,2016-04-04,"House 100, Street 7, North Nazimabad, Karachi",Import/Export,Active,50000000
7126744-3,Premier Enterprises,2023-08-27,"House 778, Street 40, DC Colony, Gujranwala",Logistics,Active,500000000
9514172-1,Star Enterprises,2019-12-15,"House 500, Street 31, Peoples Colony, Gujranwala",Pharmaceuticals,Active,50000000
9035350-8,Summit Holdings,2019-05-26,"House 400, Street 7, Peoples Colony, Gujranwala",Pharmaceuticals,Active,50000000
1176126-9,Global Enterprises,2013-09-08,"House 500, Street 32, DHA-I, Rawalpindi",Import/Export,Active,50000000
9724159-0,Royal (Pvt) Ltd,2016-12-28,"House 485, Street 10, DHA-I, Rawalpindi",Logistics,Active,500000000
9871428-0,Metro Builders,2014-01-15,"House 798, Street 60, DHA Phase 6, Karachi",Food & Beverage,Active,50000000
3255823-1,Global Associates,2018-07-29,"House 692, Street 8, North Nazimabad, Karachi",IT Services,Active,50000000
1733957-0,United International,2011-05-27,"House 972, Street 22, Jaranwala Road, Faisalabad",Trading,Active,50000000
4510885-3,Royal Traders,2016-08-17,"House 517, Street 32, Bahria Town, Lahore",Food & Beverage,Active,50000000
6404815-2,Pak Builders,2015-04-03,"House 870, Street 52, Kashmir Road, Sialkot",Trading,Active,500000000
9076192-9,Global Traders,2011-12-22,"House 950, Street 8, Gulshan-e-Iqbal, Karachi",IT Services,Active,500000000
4227812-7,Metro (Pvt) Ltd,2019-07-30,"House 584, Street 50, DC Colony, Gujranwala",IT Services,Active,500000000
6571819-5,Capital International,2021-03-17,"House 33, Street 26, DC Colony, Gujranwala",Trading,Active,50000000
6847973-7,United Industries,2017-04-16,"House 756, Street 55, Model Town, Multan",Pharmaceuticals,Active,50000000
1341315-3,Royal Industries,2012-09-02,"House 446, Street 21, F-7, Islamabad",IT Services,Active,50000000
2206078-3,United International,2009-12-30,"House 599, Street 31, DC Colony, Gujranwala",Real Estate,Active,50000000
2520302-8,Allied Traders,2019-05-21,"House 871, Street 13, DHA-I, Rawalpindi",Real Estate,Active,50000000
7966034-5,Premier Holdings,2019-03-20,"House 868, Street 54, Cantt, Multan",Food & Beverage,Active,50000000
4093112-0,Royal Enterprises,2008-08-01,"House 7, Street 7, Cantt, Sialkot",Logistics,Active,50000000
9644140-2,Summit Industries,2009-12-27,"House 288, Street 13, Bahria Town, Rawalpindi",Construction,Active,500000000
9083837-1,Apex (Pvt) Ltd,2021-04-26,"House 438, Street 27, Model Town, Lahore",Trading,Active,500000000
9954074-8,Global (Pvt) Ltd,2015-04-14,"House 610, Street 39, Shah Rukn-e-Alam, Multan",Pharmaceuticals,Active,50000000
1363961-2,Capital Industries,2015-09-12,"House 202, Street 14, Model Town, Sialkot",Food & Beverage,Active,50000000
6439190-3,Premier (Pvt) Ltd,2017-04-09,"House 539, Street 3, Madina Town, Faisalabad",Real Estate,Active,50000000
6726143-4,Crescent Enterprises,2014-12-24,"House 917, Street 10, Kashmir Road, Sialkot",Food & Beverage,Active,500000000
3179100-3,Apex International,2016-06-03,"House 832, Street 42, DHA-II, Islamabad",IT Services,Active,50000000
5320110-2,Summit Builders,2016-04-21,"House 930, Street 27, Cantt, Peshawar",Trading,Active,50000000
5500947-7,Star Holdings,2013-10-20,"House 825, Street 51, Peoples Colony, Faisalabad",Food & Beverage,Active,500000000
7019833-0,Capital Industries,2023-01-24,"House 716, Street 51, PECHS, Karachi",Construction,Active,50000000
3414087-4,Premier Traders,2023-01-27,"House 35, Street 7, I-8, Islamabad",Food & Beverage,Active,500000000
4864718-0,Allied Holdings,2023-05-28,"House 792, Street 1, Gulbahar, Peshawar",Logistics,Active,50000000
9055794-5,Allied Builders,2021-05-12,"House 351, Street 8, Model Town, Multan",Real Estate,Active,500000000
9218730-8,Metro Holdings,2015-06-30,"House 182, Street 50, Wapda Town, Lahore",Import/Export,Active,50000000
3177068-5,Summit (Pvt) Ltd,2023-09-12,"House 319, Street 4, Shah Rukn-e-Alam, Multan",Trading,Active,50000000
7966472-5,Global (Pvt) Ltd,2011-05-06,"House 328, Street 16, Kashmir Road, Sialkot",Real Estate,Active,50000000
3781854-2,Pak Enterprises,2019-01-26,"House 99, Street 22, Wapda Town, Lahore",Real Estate,Active,50000000
6117218-5,Apex Builders,2015-07-26,"House 831, Street 4, Cantt, Multan",Textile,Active,50000000
8875960-8,Summit Industries,2021-01-18,"House 865, Street 46, Gulgasht Colony, Multan",Construction,Active,500000000
1589754-4,Apex Associates,2013-09-29,"House 999, Street 3, Gulberg III, Lahore",Construction,Active,50000000
8645012-3,Capital International,2014-06-03,"House 290, Street 47, Madina Town, Faisalabad",IT Services,Active,50000000
3463092-3,Summit Traders,2014-06-27,"House 708, Street 47, Gulgasht Colony, Multan",Pharmaceuticals,Active,500000000
3711044-0,Pak Builders,2014-12-24,"House 223, Street 40, I-8, Islamabad",Real Estate,Active,50000000
6752816-9,Apex Traders,2018-06-18,"House 221, Street 55, F-6, Islamabad",IT Services,Active,500000000
9553970-5,Apex Traders,2010-09-10,"House 868, Street 54, Shah Rukn-e-Alam, Multan",Construction,Active,50000000
9672180-9,United (Pvt) Ltd,2009-02-02,"House 188, Street 25, Gulberg III, Lahore",Trading,Active,50000000
8501449-4,Global Associates,2016-09-15,"House 852, Street 9, Cantt, Lahore",Textile,Active,500000000
6285584-1,Star Holdings,2015-06-20,"House 658, Street 3, F-8, Islamabad",Construction,Active,50000000
5587669-9,United International,2023-07-25,"House 991, Street 10, Cantt, Peshawar",Logistics,Active,50000000
5278035-1,Apex (Pvt) Ltd,2017-04-27,"House 35, Street 35, Cantt, Lahore",Construction,Active,50000000
6303764-0,Global Associates,2019-11-30,"House 190, Street 40, Model Town, Multan",Trading,Active,50000000
3186468-1,Royal (Pvt) Ltd,2011-08-29,"House 582, Street 47, Satellite Town, Rawalpindi",Food & Beverage,Active,50000000
7804531-5,Apex (Pvt) Ltd,2021-11-16,"House 276, Street 47, Peoples Colony, Gujranwala",IT Services,Active,50000000
3526123-4,Crescent Builders,2009-06-18,"House 331, Street 33, D Ground, Faisalabad",Import/Export,Active,50000000
2518307-9,Premier International,2021-07-29,"House 543, Street 20, Peoples Colony, Gujranwala",Textile,Active,50000000
3134124-7,Allied (Pvt) Ltd,2008-08-06,"House 400, Street 44, Jaranwala Road, Faisalabad",Trading,Active,50000000
9862865-1,Pak Holdings,2014-11-17,"House 66, Street 29, Bahadurabad, Karachi",Trading,Active,500000000
6188273-3,United Traders,2020-06-03,"House 140, Street 7, Model Town, Sialkot",Real Estate,Active,50000000
9226180-6,Summit Traders,2014-09-10,"House 411, Street 17, Chaklala Scheme 3, Rawalpindi",Food & Beverage,Active,500000000
6204210-5,Star Holdings,2014-08-10,"House 83, Street 16, Clifton, Karachi",Construction,Active,50000000
8902978-6,Metro (Pvt) Ltd,2020-02-04,"House 454, Street 26, Clifton, Karachi",Import/Export,Active,500000000
5633727-8,United Builders,2013-01-10,"House 260, Street 16, F-7, Islamabad",Logistics,Active,50000000
4345319-5,Premier Builders,2023-02-18,"House 428, Street 53, Johar Town, Lahore",Construction,Active,50000000
7733117-0,Global Traders,2010-11-24,"House 421, Street 6, Satellite Town, Rawalpindi",Food & Beverage,Active,50000000
6228484-9,Royal (Pvt) Ltd,2022-09-04,"House 11, Street 3, Jaranwala Road, Faisalabad",IT Services,Active,50000000
5908787-7,Royal Holdings,2020-05-09,"House 353, Street 42, Chaklala Scheme 3, Rawalpindi",Pharmaceuticals,Active,50000000
2071183-0,Global Associates,2017-12-01,"House 429, Street 58, Chaklala Scheme 3, Rawalpindi",Import/Export,Active,50000000
4406606-0,Apex Industries,2010-10-20,"House 720, Street 48, G-9, Islamabad",Pharmaceuticals,Active,50000000
9371874-1,Allied Holdings,2008-02-24,"House 755, Street 47, DHA-I, Rawalpindi",IT Services,Active,500000000
4634143-2,Summit Holdings,2014-03-23,"House 433, Street 43, Satellite Town, Rawalpindi",Food & Beverage,Active,50000000
2764147-8,Pak Builders,2023-01-22,"House 839, Street 51, DC Colony, Gujranwala",Construction,Active,50000000
2880944-7,Metro Holdings,2008-03-26,"House 794, Street 48, Madina Town, Faisalabad",Logistics,Active,50000000
8834649-7,Summit Industries,2008-09-27,"House 264, Street 20, Satellite Town, Gujranwala",Import/Export,Active,50000000
4735130-8,Apex Builders,2014-09-22,"House 960, Street 40, North Nazimabad, Karachi",Real Estate,Active,500000000
7687329-6,Crescent Industries,2010-12-21,"House 425, Street 52, Model Town, Gujranwala",Food & Beverage,Active,50000000
2517088-2,Pak Associates,2023-08-11,"House 826, Street 4, Jaranwala Road, Faisalabad",Import/Export,Active,50000000
8700306-9,United Holdings,2020-04-12,"House 436, Street 38, F-8, Islamabad",Logistics,Active,50000000
6936196-4,Star Traders,2013-04-13,"House 679, Street 39, G-9, Islamabad",Logistics,Active,50000000
1273041-5,Apex Traders,2020-10-05,"House 761, Street 2, Shah Rukn-e-Alam, Multan",Real Estate,Active,500000000
6161607-9,Premier (Pvt) Ltd,2011-07-19,"House 723, Street 53, D Ground, Faisalabad",Import/Export,Active,500000000
2184743-1,Pak Enterprises,2018-05-10,"House 770, Street 5, G-9, Islamabad",Import/Export,Active,500000000
2980633-3,Pak Industries,2015-10-30,"House 823, Street 31, Cantt, Sialkot",Real Estate,Active,500000000
7816009-3,United Holdings,2012-02-21,"House 787, Street 33, D Ground, Faisalabad",Trading,Active,50000000
5283661-9,Allied (Pvt) Ltd,2008-01-30,"House 417, Street 9, Johar Town, Lahore",Logistics,Active,50000000
3480104-4,Premier International,2023-07-11,"House 437, Street 7, F-7, Islamabad",Real Estate,Active,50000000
1756211-2,Crescent International,2016-03-19,"House 574, Street 13, Clifton, Karachi",Real Estate,Active,500000000
3199147-8,Pak Industries,2009-05-14,"House 398, Street 35, Johar Town, Lahore",Construction,Active,50000000
7644412-2,United Builders,2015-11-10,"House 99, Street 18, Kashmir Road, Sialkot",Textile,Active,500000000
1978745-0,Apex Associates,2018-08-02,"House 397, Street 44, Paris Road, Sialkot",Textile,Active,50000000
5120546-2,Premier Traders,2012-12-01,"House 48, Street 19, DHA Phase 5, Lahore",Real Estate,Active,50000000
1311585-3,Royal Enterprises,2009-11-16,"House 530, Street 47, PECHS, Karachi",Food & Beverage,Active,50000000
1413061-0,Summit Holdings,2013-01-07,"House 668, Street 30, Bahria Town, Lahore",Import/Export,Active,50000000
3462521-6,Metro International,2010-02-26,"House 81, Street 58, University Town, Peshawar",Food & Beverage,Active,500000000
2551893-4,Pak Holdings,2021-10-19,"House 679, Street 44, Cantt, Multan",Import/Export,Active,50000000
9941363-4,Global International,2022-02-11,"House 866, Street 36, Model Town, Gujranwala",Textile,Active,50000000
6078538-2,Star Industries,2012-10-23,"House 567, Street 26, Clifton, Karachi",Import/Export,Active,500000000
9690471-8,United Industries,2021-07-20,"House 622, Street 31, Bahria Town, Rawalpindi",IT Services,Active,50000000
1519054-1,Royal Associates,2013-09-02,"House 603, Street 22, Madina Town, Faisalabad",Trading,Active,50000000
2591393-6,United Traders,2020-10-14,"House 580, Street 36, Gulshan-e-Iqbal, Karachi",Textile,Active,50000000
8721520-3,Pak (Pvt) Ltd,2013-12-15,"House 945, Street 14, University Town, Peshawar",Trading,Active,50000000
7157387-2,Apex Enterprises,2010-05-31,"House 275, Street 9, DC Colony, Gujranwala",Pharmaceuticals,Active,500000000
4564119-0,Capital (Pvt) Ltd,2016-05-24,"House 926, Street 24, D Ground, Faisalabad",IT Services,Active,50000000
9858974-8,Crescent Holdings,2016-11-12,"House 43, Street 47, Cantt, Sialkot",Pharmaceuticals,Active,500000000
8454327-1,Capital Enterprises,2013-09-29,"House 71, Street 21, Model Town, Multan",Textile,Active,50000000
9065996-3,United Industries,2015-05-27,"House 942, Street 2, Model Town, Multan",Real Estate,Active,50000000
5311717-8,Star (Pvt) Ltd,2015-12-21,"House 334, Street 12, Paris Road, Sialkot",Food & Beverage,Active,50000000
5979986-2,Pak Industries,2022-10-15,"House 734, Street 25, University Town, Peshawar",Trading,Active,50000000
2677003-5,Crescent Traders,2014-11-09,"House 673, Street 28, University Town, Peshawar",Construction,Active,50000000
6409128-6,Metro Traders,2013-12-27,"House 798, Street 45, Bahadurabad, Karachi",Food & Beverage,Active,50000000
8659003-6,Royal Enterprises,2010-11-03,"House 418, Street 49, I-8, Islamabad",Construction,Active,500000000
7711324-6,Royal Holdings,2010-04-07,"House 747, Street 52, Bahria Town, Islamabad",Real Estate,Active,50000000
6977814-3,Royal Associates,2014-11-02,"House 489, Street 44, Model Town, Sialkot",Food & Beverage,Active,500000000
9416422-9,Pak International,2019-08-31,"House 819, Street 16, Satellite Town, Gujranwala",Real Estate,Active,500000000
5761740-0,Metro Enterprises,2009-07-24,"House 698, Street 35, Chaklala Scheme 3, Rawalpindi",IT Services,Active,50000000
4423074-2,Pak Traders,2016-09-03,"House 748, Street 21, Shah Rukn-e-Alam, Multan",Textile,Active,50000000
4979814-2,Metro International,2016-10-15,"House 449, Street 54, Cantt, Sialkot",Food & Beverage,Active,500000000
1987962-4,Allied (Pvt) Ltd,2011-02-27,"House 406, Street 35, Satellite Town, Rawalpindi",Textile,Active,500000000
3271818-0,Star Holdings,2011-09-16,"House 889, Street 42, Kashmir Road, Sialkot",Food & Beverage,Active,50000000
7168198-3,Crescent Associates,2020-01-18,"House 650, Street 51, Gulshan-e-Iqbal, Karachi",IT Services,Active,50000000
9955823-1,Premier Industries,2008-04-03,"House 155, Street 50, Peoples Colony, Gujranwala",IT Services,Active,50000000
5506750-2,Apex Industries,2022-08-23,"House 478, Street 54, Madina Town, Faisalabad",Logistics,Active,50000000
2613458-6,United Enterprises,2008-03-07,"House 638, Street 36, Westridge, Rawalpindi",IT Services,Active,50000000
2634985-2,Crescent Enterprises,2023-01-04,"House 689, Street 10, Westridge, Rawalpindi",Import/Export,Active,50000000
5015645-5,Apex (Pvt) Ltd,2016-06-28,"House 866, Street 12, Clifton, Karachi",Construction,Active,500000000
3473112-1,Star Traders,2008-05-27,"House 279, Street 4, Gulbahar, Peshawar",IT Services,Active,500000000
1061472-1,Metro Associates,2023-03-13,"House 682, Street 26, D Ground, Faisalabad",Food & Beverage,Active,50000000
9683854-4,Crescent International,2018-06-24,"House 40, Street 58, Cantt, Sialkot",Trading,Active,50000000
4947010-4,Capital International,2009-12-27,"House 734, Street 23, Cantt, Lahore",Import/Export,Active,50000000
6007451-8,United Holdings,2019-05-14,"House 213, Street 4, I-8, Islamabad",Real Estate,Active,50000000
9343969-4,Summit (Pvt) Ltd,2022-07-04,"House 402, Street 31, DHA-I, Rawalpindi",Construction,Active,50000000
5867740-6,Crescent (Pvt) Ltd,2008-06-02,"House 338, Street 12, Satellite Town, Gujranwala",Trading,Active,50000000
2661893-7,Premier Traders,2020-08-11,"House 433, Street 33, Cantt, Multan",Construction,Active,50000000
5621991-6,Star Builders,2023-04-04,"House 182, Street 35, Peoples Colony, Gujranwala",Construction,Active,50000000
8969273-4,United Holdings,2021-09-13,"House 835, Street 45, Peoples Colony, Gujranwala",Import/Export,Active,500000000
8831217-2,Premier (Pvt) Ltd,2018-10-04,"House 516, Street 32, Clifton, Karachi",Import/Export,Active,500000000
5049179-6,Metro Industries,2015-06-15,"House 306, Street 31, Model Town, Sialkot",IT Services,Active,500000000
3474600-4,Global International,2010-05-30,"House 803, Street 46, University Town, Peshawar",Logistics,Active,50000000
6070021-5,United Associates,2018-02-11,"House 527, Street 51, G-11, Islamabad",Food & Beverage,Active,50000000
3919613-2,Pak Industries,2011-05-25,"House 129, Street 26, DHA Phase 5, Lahore",Logistics,Active,50000000
8514016-4,Apex Holdings,2015-12-05,"House 261, Street 2, Jaranwala Road, Faisalabad",Trading,Active,50000000
8204033-1,Royal Builders,2010-10-02,"House 54, Street 17, North Nazimabad, Karachi",IT Services,Active,500000000
4088244-6,Star Industries,2022-02-19,"House 448, Street 6, DHA Phase 5, Lahore",Real Estate,Active,500000000
6421712-5,Pak Enterprises,2018-04-28,"House 667, Street 53, Model Town, Lahore",IT Services,Active,500000000
1540209-3,Premier Traders,2022-05-26,"House 109, Street 40, Satellite Town, Gujranwala",Real Estate,Active,50000000
9528353-9,Summit Builders,2022-08-20,"House 634, Street 52, D Ground, Faisalabad",Textile,Active,50000000
1331341-3,Capital Associates,2018-07-17,"House 431, Street 2, Kashmir Road, Sialkot",IT Services,Active,500000000
6761770-4,Pak International,2015-06-04,"House 517, Street 58, DHA-I, Rawalpindi",Import/Export,Active,50000000
1124403-4,Pak Industries,2019-06-20,"House 600, Street 48, Peoples Colony, Gujranwala",Textile,Active,50000000
1650250-4,Star Enterprises,2016-03-12,"House 558, Street 60, Chaklala Scheme 3, Rawalpindi",IT Services,Active,50000000
6793655-4,Pak International,2016-10-13,"House 794, Street 33, D Ground, Faisalabad",Food & Beverage,Active,50000000
3232596-1,Star International,2020-10-05,"House 669, Street 44, DHA Phase 6, Karachi",Textile,Active,50000000
3101745-1,Global Industries,2017-01-06,"House 723, Street 45, Bahria Town, Rawalpindi",IT Services,Active,500000000
3256689-4,Allied (Pvt) Ltd,2019-11-30,"House 786, Street 16, Hayatabad, Peshawar",IT Services,Active,50000000
6256756-0,Allied Traders,2019-10-16,"House 60, Street 30, G-11, Islamabad",Textile,Active,500000000
7119730-1,Metro Builders,2015-12-19,"House 178, Street 44, Gulshan-e-Iqbal, Karachi",Real Estate,Active,50000000
9369134-1,United Associates,2008-10-17,"House 505, Street 43, Cantt, Sialkot",Trading,Active,500000000
8499203-5,Capital Builders,2010-02-04,"House 575, Street 18, G-11, Islamabad",IT Services,Active,50000000
7275144-1,Global International,2016-09-18,"House 400, Street 28, Cantt, Peshawar",Construction,Active,50000000
1596246-4,United Enterprises,2012-09-20,"House 275, Street 59, Paris Road, Sialkot",Textile,Active,50000000
9011227-0,United Industries,2018-09-19,"House 785, Street 50, I-8, Islamabad",Trading,Active,50000000
3823430-2,Star Builders,2009-11-09,"House 860, Street 19, DC Colony, Gujranwala",Real Estate,Active,50000000
5000474-9,Global Builders,2015-03-18,"House 96, Street 13, DHA Phase 6, Karachi",Real Estate,Active,50000000
1558598-8,Metro (Pvt) Ltd,2009-11-07,"House 280, Street 29, Cantt, Sialkot",IT Services,Active,50000000
6702545-1,Royal Enterprises,2020-03-22,"House 46, Street 32, Gulberg III, Lahore",Pharmaceuticals,Active,500000000
6563740-1,Premier Industries,2009-09-01,"House 864, Street 30, Hayatabad, Peshawar",Textile,Active,50000000
8882313-0,Metro Builders,2022-11-22,"House 595, Street 56, Hayatabad, Peshawar",Food & Beverage,Active,500000000
7822331-5,United (Pvt) Ltd,2010-02-14,"House 99, Street 44, Peoples Colony, Gujranwala",Real Estate,Active,50000000
6994505-3,Royal (Pvt) Ltd,2017-10-28,"House 576, Street 28, Model Town, Multan",Import/Export,Active,500000000
7620060-9,Premier Builders,2010-09-23,"House 32, Street 16, Gulgasht Colony, Multan",Food & Beverage,Active,50000000
6772913-3,Star Holdings,2013-09-18,"House 806, Street 9, Model Town, Gujranwala",Food & Beverage,Active,500000000
9479560-4,Crescent Holdings,2021-08-08,"House 497, Street 49, Gulgasht Colony, Multan",Textile,Active,500000000
8474861-8,Summit Associates,2013-10-25,"House 405, Street 31, Bahria Town, Lahore",Trading,Active,50000000
6294221-2,Pak International,2019-04-14,"House 682, Street 12, Gulshan-e-Iqbal, Karachi",Textile,Active,50000000
8333632-0,Global Enterprises,2016-01-02,"House 460, Street 40, Shah Rukn-e-Alam, Multan",Construction,Active,50000000
6954505-9,Global (Pvt) Ltd,2019-04-29,"House 903, Street 26, Gulgasht Colony, Multan",Food & Beverage,Active,50000000
4059242-4,Pak Enterprises,2012-05-14,"House 108, Street 15, Cantt, Lahore",Construction,Active,500000000
4640736-0,Royal Enterprises,2013-01-07,"House 168, Street 39, Model Town, Sialkot",Real Estate,Active,50000000
4723017-7,Premier Traders,2014-09-29,"House 434, Street 14, Shah Rukn-e-Alam, Multan",IT Services,Active,50000000
7591721-3,Crescent International,2008-07-18,"House 115, Street 15, D Ground, Faisalabad",Trading,Active,50000000
6478704-5,Global Associates,2014-11-02,"House 947, Street 21, Bahria Town, Rawalpindi",Real Estate,Active,500000000
4329502-6,United Builders,2014-08-19,"House 41, Street 55, I-8, Islamabad",Construction,Active,50000000
1134327-0,United Enterprises,2011-07-10,"House 550, Street 3, North Nazimabad, Karachi",Trading,Active,50000000
3668405-8,Apex Associates,2022-12-25,"House 696, Street 29, Model Town, Lahore",Pharmaceuticals,Active,50000000
4811698-7,United Associates,2021-04-22,"House 445, Street 39, Model Town, Sialkot",Food & Beverage,Active,50000000
6996863-7,Crescent Enterprises,2023-05-14,"House 820, Street 39, Chaklala Scheme 3, Rawalpindi",Food & Beverage,Active,50000000
5778863-8,Metro Enterprises,2017-09-11,"House 220, Street 4, DHA Phase 5, Lahore",Pharmaceuticals,Active,50000000
9051204-4,Global Holdings,2018-11-16,"House 813, Street 31, Satellite Town, Rawalpindi",IT Services,Active,50000000
9974058-8,Crescent Associates,2015-01-14,"House 373, Street 4, Clifton, Karachi",Textile,Active,50000000
3817195-4,Allied Holdings,2014-10-25,"House 75, Street 18, Model Town, Sialkot",Food & Beverage,Active,50000000
4698810-0,Global Traders,2018-10-14,"House 997, Street 53, University Town, Peshawar",Construction,Active,50000000
7542329-5,Crescent Associates,2008-03-01,"House 747, Street 60, Cantt, Lahore",Import/Export,Active,50000000
6101289-8,Pak Associates,2008-11-01,"House 498, Street 53, DC Colony, Gujranwala",Construction,Active,50000000
5075510-0,Apex International,2018-06-04,"House 10, Street 36, Model Town, Multan",Logistics,Active,50000000
2500064-9,Metro Associates,2018-05-23,"House 586, Street 5, Cantt, Peshawar",Food & Beverage,Active,50000000
1112542-5,Pak Industries,2009-05-19,"House 378, Street 6, Satellite Town, Gujranwala",Pharmaceuticals,Active,500000000
1018476-2,United Traders,2021-05-11,"House 994, Street 6, Hayatabad, Peshawar",Construction,Active,50000000
5054810-2,Summit Holdings,2021-05-09,"House 837, Street 60, Jaranwala Road, Faisalabad",Textile,Active,50000000
9058711-8,Royal Traders,2021-05-17,"House 88, Street 29, Madina Town, Faisalabad",Construction,Active,50000000
1497571-7,Star Holdings,2011-02-13,"House 161, Street 51, F-8, Islamabad",Textile,Active,50000000
7663189-5,Royal Traders,2023-05-03,"House 572, Street 46, DHA Phase 5, Lahore",IT Services,Active,500000000
3503366-7,United Builders,2009-06-26,"House 310, Street 35, F-6, Islamabad",Food & Beverage,Active,50000000
1201827-3,Metro International,2022-08-16,"House 187, Street 6, Model Town, Gujranwala",Textile,Active,50000000
5048125-1,Crescent Enterprises,2014-05-27,"House 555, Street 31, Bahria Town, Lahore",Pharmaceuticals,Active,50000000
2665870-3,United Holdings,2015-09-04,"House 616, Street 11, DHA-II, Islamabad",Pharmaceuticals,Active,500000000
2608951-1,United Associates,2013-06-07,"House 791, Street 27, DHA-I, Rawalpindi",Import/Export,Active,50000000
8977078-4,Royal (Pvt) Ltd,2023-02-18,"House 131, Street 15, G-11, Islamabad",Trading,Active,500000000
1655143-4,Global Holdings,2010-02-08,"House 430, Street 21, Cantt, Sialkot",Pharmaceuticals,Active,500000000
1204257-6,Metro (Pvt) Ltd,2019-05-03,"House 743, Street 50, Model Town, Lahore",IT Services,Active,50000000
6440769-4,Summit (Pvt) Ltd,2020-03-28,"House 509, Street 25, Bahria Town, Lahore",Pharmaceuticals,Active,50000000
9226848-5,Premier Holdings,2016-08-28,"House 832, Street 3, D Ground, Faisalabad",Pharmaceuticals,Active,50000000
3271800-3,Allied International,2012-12-18,"House 55, Street 32, DHA Phase 6, Karachi",Pharmaceuticals,Active,50000000
3499828-8,Premier Holdings,2008-07-12,"House 580, Street 26, Madina Town, Faisalabad",IT Services,Active,50000000
5704498-4,Star Industries,2019-04-25,"House 806, Street 57, Clifton, Karachi",IT Services,Active,50000000
7624326-1,United International,2018-08-02,"House 237, Street 8, Westridge, Rawalpindi",Import/Export,Active,500000000
7680318-9,Global (Pvt) Ltd,2018-01-12,"House 95, Street 51, Cantt, Sialkot",Real Estate,Active,50000000
2260629-7,Star Enterprises,2014-04-23,"House 992, Street 25, Gulshan-e-Iqbal, Karachi",Logistics,Active,500000000
8374995-5,United (Pvt) Ltd,2023-05-13,"House 925, Street 56, Cantt, Peshawar",IT Services,Active,50000000
2751552-8,Summit Builders,2011-02-10,"House 199, Street 40, Peoples Colony, Gujranwala",Logistics,Active,50000000
4840281-9,Global Industries,2011-01-02,"House 366, Street 42, Chaklala Scheme 3, Rawalpindi",IT Services,Active,50000000
5710227-8,Allied Industries,2018-07-18,"House 654, Street 41, Bahria Town, Lahore",IT Services,Active,50000000
4750074-3,Crescent Associates,2010-05-22,"House 767, Street 41, Model Town, Multan",Logistics,Active,500000000
9409599-5,Metro Enterprises,2014-03-19,"House 351, Street 36, Westridge, Rawalpindi",Textile,Active,50000000
8434650-4,Capital (Pvt) Ltd,2020-10-05,"House 86, Street 59, Cantt, Lahore",Logistics,Active,500000000
2870308-5,Royal (Pvt) Ltd,2008-06-15,"House 581, Street 5, Hayatabad, Peshawar",Construction,Active,500000000
2907789-5,Royal Industries,2008-01-30,"House 116, Street 24, University Town, Peshawar",Construction,Active,50000000
2333097-9,Metro Builders,2021-07-02,"House 214, Street 17, Model Town, Multan",Logistics,Active,50000000
1517799-0,Capital Builders,2018-04-20,"House 359, Street 60, Gulgasht Colony, Multan",Real Estate,Active,50000000
2333741-7,Premier Traders,2009-12-26,"House 369, Street 25, G-10, Islamabad",Pharmaceuticals,Active,50000000
5531505-4,Premier Associates,2022-09-21,"House 862, Street 11, Madina Town, Faisalabad",Import/Export,Active,50000000
7718132-1,Apex Enterprises,2010-12-16,"House 881, Street 12, Model Town, Lahore",IT Services,Active,50000000
7181298-8,Capital (Pvt) Ltd,2010-06-22,"House 314, Street 18, Clifton, Karachi",Textile,Active,50000000
6955400-9,Metro (Pvt) Ltd,2023-10-06,"House 476, Street 35, I-8, Islamabad",Textile,Active,500000000
5085607-0,Star (Pvt) Ltd,2023-11-08,"House 703, Street 48, Westridge, Rawalpindi",Pharmaceuticals,Active,500000000
6874021-3,Royal Associates,2022-03-24,"House 837, Street 18, Satellite Town, Gujranwala",Pharmaceuticals,Active,50000000
